Referencia,zona,contrato,ascensor,calle,consumo_energia,dormitorios,precio_venta,ciudad,baños,planta/piso,tipo_inmueble,calefaccion,año_construcción,Comunidad Autonoma,Clase_energia,Pais,Fecha_publicación,Superficie
594509,,venta,,Calle Quinta Avenida,"42,06 kW h/m&sup2; año",3 dorm.,105000,Almería,1 baño,1,Popular,,1969,Andalucía,g,es,2024-09-13 17:32:47,88.00
599139,,venta,,C. Cámaras,,3 dorm.,97990,Almería,1 baño,Baja,Popular,,1960,Andalucía,,es,2024-10-25 19:44:05,111.00
599242,,venta,,C. Zagal,,3 dorm.,59990,Almería,,,Media,,1954,Andalucía,,es,2024-10-25 19:26:17,51.00
598061,,venta,,Calle Marchales,,3 dorm.,119000,Almería,1 baño,2,Popular,,1974,Andalucía,,es,2024-10-18 16:40:37,106.00
532627,,venta,,C. Maldonado Entrena,,4 dorm.,159500,Almería,2 baños,,Popular,,1975,Andalucía,,es,2024-10-16 09:53:10,172.00
594789,,venta,,Plus Ultra,"211,8 kW h/m&sup2; año",4 dorm.,127500,Almería,1 baño,,Popular,,1975,Andalucía,g,es,2024-09-20 11:26:59,114.00
595160,,venta,,Ctra. de Ronda,,,79000,Almería,1 baño,2 (planta media),Popular,,1974,Andalucía,,es,2024-09-19 18:01:51,107.00
596150,,venta,,Calle Zafiro,,,72000,Almería,,,Media,,1966,Andalucía,,es,2024-09-30 20:27:39,64.00
598331,Los Molinos - El Puche - Torrecardenas,venta,,C. Pintor Zabaleta,"84,60 kWh/m&sup2; año",3 dorm.,139000,Almería,1 baño,,Popular,,2012,Andalucía,e,es,2024-10-17 16:38:30,70.00
599671,,venta,,Av. de Madrid,"135,3 kW h/m&sup2; año",3 dorm.,89900,Almería,1 baño,,Popular,,1968,Andalucía,e,es,2024-10-30 12:20:21,108.00
598971,,venta,,Pl. del Niño Jesús,"167,5 kW h/m&sup2; año",4 dorm.,69900,Almería,1 baño,Alta,Popular,,1968,Andalucía,g,es,2024-10-23 17:36:03,76.00
598612,,venta,,Calle Jaúl,"281,5 kW h/m&sup2; año",2 dorm.,92000,Almería,1 baño,Baja,Popular,,1955,Andalucía,g,es,2024-10-21 12:35:43,50.00
599281,Los Molinos - El Puche - Torrecardenas,venta,,C. Eñe,,,169900,Almería,1 baño,5,Popular,,1999,Andalucía,,es,2024-10-28 16:45:09,100.00
598464,Los Molinos - El Puche - Torrecardenas,venta,,C. Cantareros,,3 dorm.,119000,Almería,1 baño,,Popular,,1992,Andalucía,,es,2024-10-18 16:48:52,115.00
592697,Almería - Centro Histórico,venta,,C. Lope de Vega,,,91500,Almería,,5,Media,,1970,Andalucía,,es,2024-10-22 18:16:07,55.00
597512,Puerta Tierra,venta,,C. Alfonso Aramburu,"127,42 kWh/m&sup2; año",2 dorm.,169000,Cádiz,,3 (planta media),Media,,1958,Andalucía,e,es,2024-10-10 11:01:51,76.00
598646,Puerta Tierra,venta,,C. Tanguillo,,2 dorm.,148500,Cádiz,,4 (planta media),Media,,1939,Andalucía,,es,2024-10-21 18:27:49,50.00
586352,Puerta Tierra,venta,,Pl. de los Porches,,4 dorm.,267000,Cádiz,,1 (planta baja),Media,,1976,Andalucía,,es,2024-06-18 10:41:19,108.00
598216,Puerta Tierra,venta,,Av. Lacave,,3 dorm.,169000,Cádiz,,3 (planta alta),Media,,1957,Andalucía,,es,2024-10-17 18:28:41,57.00
597551,Puerta Tierra,venta,,C. San Mateo,,3 dorm.,225000,Cádiz,,5 (planta alta),Popular,,1975,Andalucía,,es,2024-10-10 18:40:19,84.00
557956,Puerta Tierra,venta,Sí,Calle Barbate,"101,17 kW h/m&sup2; año",3 dorm.,168500,Cádiz,1 baño,1,Media,,1991,Andalucía,e,es,2023-09-13 10:56:57,86.00
592295,Puerta Tierra,venta,,C. Huerta del Obispo,,3 dorm.,360000,Cádiz,,4 (planta alta),Media,,1986,Andalucía,,es,2024-08-28 18:22:08,104.00
587724,Puerta Tierra,venta,,Av. Ana de Viya,,3 dorm.,320000,Cádiz,,3 (planta media),Media,,1970,Andalucía,,es,2024-06-28 20:07:15,90.00
592556,Puerta Tierra,venta,,C/ Adelfa,,4 dorm.,320000,Cádiz,,Planta baja,Popular,,1979,Andalucía,,es,2024-08-22 19:33:22,122.00
587499,Puerta Tierra,venta,,C. Sor Cristina López García,"228,88 kW h/m&sup2; año",2 dorm.,119500,Cádiz,,,Popular,,1957,Andalucía,g,es,2024-07-02 09:23:48,58.00
589548,Puerta Tierra,venta,,Pl. Escritor Ramón Solís,,4 dorm.,460000,Cádiz,,6 (planta alta),Media,,1969,Andalucía,,es,2024-07-17 13:42:27,114.00
556113,Puerta Tierra,venta,,Calle Sociedad,,4 dorm.,480000,Cádiz,,Baja,Popular,,1978,Andalucía,,es,2023-08-24 18:55:05,113.00
359446,Puerta Tierra,venta,Sí,Plaza de Madrid,,3 dorm.,365000,Cádiz,2 baños,,Popular,,1959,Andalucía,,es,2024-05-02 18:10:07,75.00
598965,Ciudad Jardin - Machaquito,venta,,C/ de la Previsión,"113,07 kWh/m&sup2; año",3 dorm.,92900,Cordoba,,5 (planta alta),Popular,,1970,Andalucía,e,es,2024-10-25 11:19:16,78.00
599257,Sector Sur - Campo La Verdad,venta,,C/ Loja,,2 dorm.,32000,Cordoba,1 baño,,Señorial,,1960,Andalucía,,es,2024-10-28 13:19:54,47.00
599009,Sector Sur - Campo La Verdad,venta,,Calle Moriles,,2 dorm.,49900,Cordoba,1 baño,4,Media,,1960,Andalucía,,es,2024-10-25 10:56:57,64.00
596250,Barriada Guadalquivir - Sector Sur,venta,,Libertador Andres de santacruz,,3 dorm.,45000,Cordoba,1 baño,3 (planta alta),Media,,1980,Andalucía,,es,2024-09-30 13:11:28,83.00
598876,Sector Sur - Campo La Verdad,venta,,Avda. Cádiz,,4 dorm.,148000,Cordoba,2 baños,,Popular,,1990,Andalucía,,es,2024-10-23 17:28:47,97.00
598288,Fatima,venta,Sí,Calle Vereda de la Alcaidía,"151,76 kWh/m&sup2; año",3 dorm.,135000,Cordoba,1 baño,,Señorial,,1983,Andalucía,e,es,2024-10-18 09:54:18,94.00
554691,Barriada Guadalquivir - Sector Sur,venta,Sí,Pasaje mezquita,,3 dorm.,89000,Cordoba,2 baños,,Media,centralizada (Chimenea),1992,Andalucía,,es,2023-08-02 11:04:26,90.00
591658,Fatima,venta,,Av. Virgen de Fátima,"209,5 kW h/m&sup2; año",3 dorm.,90000,Cordoba,1 baño,,Media,,1970,Andalucía,g,es,2024-08-08 10:12:42,84.00
599226,Fatima,venta,,Av. Virgen de Fátima,"214,4 kW h/m&sup2; año",3 dorm.,95000,Cordoba,1 baño,,Media,,1973,Andalucía,g,es,2024-10-28 10:37:48,94.00
599661,Levante - Fidiana,venta,,Cronista Maraver 26,,,79900,Cordoba,1 baño,,Media,,1975,Andalucía,,es,2024-10-30 10:43:45,75.00
592514,Ciudad Jardin - Machaquito,venta,,Avenida de los Mozarabes,"57,75 kWh/m&sup2; año",3 dorm.,224900,Cordoba,,4 (planta media),Señorial,,1986,Andalucía,d,es,2024-08-21 18:10:36,105.00
598358,Santa Rosa,venta,,C. Raimundo Lulio,,3 dorm.,104900,Cordoba,,1 (planta baja),Popular,,1978,Andalucía,,es,2024-10-17 18:12:25,94.00
598977,Santa Rosa,venta,,C. Pintor Arbasia,,3 dorm.,149900,Cordoba,,1 (planta baja),Popular,,1998,Andalucía,,es,2024-10-28 19:21:00,69.00
597787,Santa Rosa,venta,,C. Mariana Pineda,,3 dorm.,109900,Cordoba,,Planta baja,Popular,,1969,Andalucía,,es,2024-10-11 19:50:29,61.00
