Referencia,zona,contrato,ascensor,calle,consumo_energia,dormitorios,precio_venta,ciudad,baños,planta/piso,tipo_inmueble,calefaccion,año_construcción,Comunidad Autonoma,Clase_energia,Pais,Fecha_publicación,Superficie
598730,Pajarillos ,venta,,Calle Zorzal,"292,0 kWh/m&sup2; año",3 dorm.,79900,Valladolid,1 baño,2,Popular,Independiente,1970,Castilla Y León,f,es,2024-10-31 20:26:06,86.00
587640,Delicias,venta,,C. de San Isidro,"304,85 kWh/m&sup2; año",4 dorm.,97500,Valladolid,1 baño,2 (planta media),Media,,1964,Castilla Y León,e,es,2024-07-01 19:04:55,100.00
589620,Pajarillos ,venta,,Calle Gallo,261 kW h/m&sup2; año,3 dorm.,74900,Valladolid,1 baño,1,Media,Independiente,1970,Castilla Y León,e,es,2024-10-31 12:37:19,78.00
594761,La Rondilla,venta,Sí,Calle Lope de Vega,"264,9 kWh/m&sup2; año",3 dorm.,94900,Valladolid,1 baño,1,Popular,,1967,Castilla Y León,e,es,2024-09-24 19:50:33,83.00
595855,Vadillo - Batallas,venta,Sí,Calle Huelgas,"281,1 kWh/m&sup2; año",4 dorm.,198000,Valladolid,2 baños,,Popular,centralizada (Gas),1972,Castilla Y León,e,es,2024-10-16 16:59:13,110.00
598033,Arturo Eyries,venta,Sí,Calle Ecuador,"405,3 kW h/m&sup2; año",3 dorm.,59900,Valladolid,1 baño,,Popular,,1981,Castilla Y León,g,es,2024-10-25 20:31:19,110.00
597523,Centro Ciudad,venta,,C. Veinte de Febrero,"250,9 kWh/m&sup2; año",1 dorm.,98000,Valladolid,1 baño,Media,Popular,,1972,Castilla Y León,e,es,2024-10-30 18:01:08,94.00
599025,Delicias,venta,Sí,C/ Ebro,"314,8 kW h/m&sup2; año",3 dorm.,50000,Valladolid,1 baño,Alta,Media,Independiente (Gas),1969,Castilla Y León,f,es,2024-10-28 18:44:09,69.00
599447,Delicias,venta,Sí,C. Celtas Cortos,"244,7 kW h/m&sup2; año",3 dorm.,83000,Valladolid,1 baño,2,Popular,Independiente (Gas),1970,Castilla Y León,e,es,2024-10-30 13:48:00,70.00
585574,Delicias,venta,Sí,C. Gral. Shelly,"104,82 kW h/m&sup2; año",3 dorm.,65000,Valladolid,1 baño,Baja,Popular,,1970,Castilla Y León,e,es,2024-06-18 18:24:53,62.00
505770,Centro Ciudad,venta,Sí,P.º Isabel la Catolica,142 kW h/m&sup2; año,4 dorm.,379900,Valladolid,2 baños,14,Señorial,centralizada (Gas),1973,Castilla Y León,c,es,2024-10-30 13:19:56,163.00
551279,Puente Jardín,venta,,Calle Villanubla,"95,7 kWh/m&sup2; año",4 dorm.,156000,Valladolid,1 baño,1,Popular,,1976,Castilla Y León,e,es,2024-03-08 20:25:23,154.00
597693,Hospital - Universidad,venta,,C. de Sta. Clara,"222,7 kWh/m&sup2; año",4 dorm.,199900,Valladolid,2 baños,6 (planta alta),Popular,Independiente (Gas),1974,Castilla Y León,e,es,2024-10-23 20:47:20,125.00
592146,La Rondilla,venta,,Calle de Portillo de Balboa,"284,20 kWh/m&sup2; año",3 dorm.,99900,Valladolid,1 baño,5,Popular,Independiente (Gas),1978,Castilla Y León,f,es,2024-08-29 13:03:37,90.00
572373,La Rondilla,venta,,C. del Amor de Dios,"390,1 kW h/m&sup2; año",3 dorm.,93000,Valladolid,1 baño,,Popular,Independiente (Gas),1969,Castilla Y León,g,es,2024-08-27 12:41:15,76.00
599605,La Victoria ,venta,,Don Juan Bravo,81 kW h/m&sup2; año,4 dorm.,159900,Valladolid,2 baños,Baja,Popular,Independiente (Geotérmica),2009,Castilla Y León,c,es,2024-10-31 17:44:02,140.00
597383,Santa Clara ,venta,,C. Valoria,"362,00 kW h/m&sup2; año",3 dorm.,114900,Valladolid,1 baño,,Popular,Independiente (Gas),1958,Castilla Y León,e,es,2024-10-29 18:17:02,91.00
596363,La Victoria ,venta,,Subida Fuente el Sol,,3 dorm.,95000,Valladolid,,Baja,Popular,,1940,Castilla Y León,,es,2024-09-30 20:50:02,145.00
597944,Pajarillos ,venta,,Rincon Del Esgueva,412 kW h/m&sup2; año,3 dorm.,69900,Valladolid,1 baño,Baja,Media,,1936,Castilla Y León,f,es,2024-10-21 20:46:35,60.00
575545,Barrio España ,venta,,C. Alcarria,"498,2 kWh/m&sup2; año",4 dorm.,154900,Valladolid,2 baños,Baja,Popular,,1960,Castilla Y León,g,es,2024-03-15 13:27:02,150.00
594542,Barrio España ,venta,,C. Alcarria,,,63900,Valladolid,1 baño,Baja,Popular,,1940,Castilla Y León,,es,2024-09-23 12:43:25,96.00
590165,Parquesol,venta,,Calle Mariano de los Cobos,176 kWh/m&sup2; año,4 dorm.,299900,Valladolid,3 baños,,Señorial,Independiente (Eléctrica),1988,Castilla Y León,d,es,2024-09-20 17:25:26,243.00
585048,Parquesol,venta,,Calle Compositor Facundo Viña,155 kWh/m&sup2; año,4 dorm.,285000,Valladolid,3 baños,,Media,Independiente (Gas),2001,Castilla Y León,d,es,2024-06-08 13:06:06,174.00
579879,La Rubia,venta,,Avenida Cedro,"233,95 kWh/m&sup2; año",5 dorm.,299900,Valladolid,3 baños,71 (planta planta baja),Media,"Independiente (Chimenea, A Gasoil)",1980,Castilla Y León,g,es,2024-05-03 19:04:01,284.00
593138,La Rubia,venta,,Calle Hoyo de la arena,250 kWh/m&sup2; año,4 dorm.,179000,Valladolid,2 baños,,Popular,Independiente,1995,Castilla Y León,e,es,2024-08-29 19:10:53,241.00
558966,Parquesol,venta,,C. Compositor Facundo Viña,351 kWh/m&sup2; año,5 dorm.,399900,Valladolid,3 baños,,Señorial,Independiente (Gas),2006,Castilla Y León,e,es,2023-09-22 15:28:31,276.00
585985,Parquesol,venta,,Calle de Miriam Blasco,98 kWh/m&sup2; año,4 dorm.,399900,Valladolid,3 baños,,Señorial,Independiente (Gas),1998,Castilla Y León,c,es,2024-07-01 19:28:08,234.00
