Energy_Consumption,Reference,Heating,Country,City,Zone,Energy_Class,Publish_date,Sale_Price,Floor,Street,Bedrooms,Elevator,Bathrooms,Year_Construction,Surface,Autonomous_Community,Contrat,Property_Type
"42,06 kW h/m&sup2; año",594509,,es,Almería,,g,2024-09-13 17:32:47,105000,1,Calle Quinta Avenida,3 dorm.,,1 baño,1969,88.00,Andalucía,venta,Popular
,599139,,es,Almería,,,2024-10-25 19:44:05,97990,Baja,C. Cámaras,3 dorm.,,1 baño,1960,111.00,Andalucía,venta,Popular
,599242,,es,Almería,,,2024-10-25 19:26:17,59990,,C. Zagal,3 dorm.,,,1954,51.00,Andalucía,venta,Media
,598061,,es,Almería,,,2024-10-18 16:40:37,119000,2,Calle Marchales,3 dorm.,,1 baño,1974,106.00,Andalucía,venta,Popular
,532627,,es,Almería,,,2024-10-16 09:53:10,159500,,C. Maldonado Entrena,4 dorm.,,2 baños,1975,172.00,Andalucía,venta,Popular
"211,8 kW h/m&sup2; año",594789,,es,Almería,,g,2024-09-20 11:26:59,127500,,Plus Ultra,4 dorm.,,1 baño,1975,114.00,Andalucía,venta,Popular
,595160,,es,Almería,,,2024-09-19 18:01:51,79000,2 (planta media),Ctra. de Ronda,,,1 baño,1974,107.00,Andalucía,venta,Popular
,596150,,es,Almería,,,2024-09-30 20:27:39,72000,,Calle Zafiro,,,,1966,64.00,Andalucía,venta,Media
"84,60 kWh/m&sup2; año",598331,,es,Almería,Los Molinos - El Puche - Torrecardenas,e,2024-10-17 16:38:30,139000,,C. Pintor Zabaleta,3 dorm.,,1 baño,2012,70.00,Andalucía,venta,Popular
"135,3 kW h/m&sup2; año",599671,,es,Almería,,e,2024-10-30 12:20:21,89900,,Av. de Madrid,3 dorm.,,1 baño,1968,108.00,Andalucía,venta,Popular
"167,5 kW h/m&sup2; año",598971,,es,Almería,,g,2024-10-23 17:36:03,69900,Alta,Pl. del Niño Jesús,4 dorm.,,1 baño,1968,76.00,Andalucía,venta,Popular
"281,5 kW h/m&sup2; año",598612,,es,Almería,,g,2024-10-21 12:35:43,92000,Baja,Calle Jaúl,2 dorm.,,1 baño,1955,50.00,Andalucía,venta,Popular
,599281,,es,Almería,Los Molinos - El Puche - Torrecardenas,,2024-10-28 16:45:09,169900,5,C. Eñe,,,1 baño,1999,100.00,Andalucía,venta,Popular
,598464,,es,Almería,Los Molinos - El Puche - Torrecardenas,,2024-10-18 16:48:52,119000,,C. Cantareros,3 dorm.,,1 baño,1992,115.00,Andalucía,venta,Popular
,592697,,es,Almería,Almería - Centro Histórico,,2024-10-22 18:16:07,91500,5,C. Lope de Vega,,,,1970,55.00,Andalucía,venta,Media
"127,42 kWh/m&sup2; año",597512,,es,Cádiz,Puerta Tierra,e,2024-10-10 11:01:51,169000,3 (planta media),C. Alfonso Aramburu,2 dorm.,,,1958,76.00,Andalucía,venta,Media
,598646,,es,Cádiz,Puerta Tierra,,2024-10-21 18:27:49,148500,4 (planta media),C. Tanguillo,2 dorm.,,,1939,50.00,Andalucía,venta,Media
,586352,,es,Cádiz,Puerta Tierra,,2024-06-18 10:41:19,267000,1 (planta baja),Pl. de los Porches,4 dorm.,,,1976,108.00,Andalucía,venta,Media
,598216,,es,Cádiz,Puerta Tierra,,2024-10-17 18:28:41,169000,3 (planta alta),Av. Lacave,3 dorm.,,,1957,57.00,Andalucía,venta,Media
,597551,,es,Cádiz,Puerta Tierra,,2024-10-10 18:40:19,225000,5 (planta alta),C. San Mateo,3 dorm.,,,1975,84.00,Andalucía,venta,Popular
"101,17 kW h/m&sup2; año",557956,,es,Cádiz,Puerta Tierra,e,2023-09-13 10:56:57,168500,1,Calle Barbate,3 dorm.,Sí,1 baño,1991,86.00,Andalucía,venta,Media
,592295,,es,Cádiz,Puerta Tierra,,2024-08-28 18:22:08,360000,4 (planta alta),C. Huerta del Obispo,3 dorm.,,,1986,104.00,Andalucía,venta,Media
,587724,,es,Cádiz,Puerta Tierra,,2024-06-28 20:07:15,320000,3 (planta media),Av. Ana de Viya,3 dorm.,,,1970,90.00,Andalucía,venta,Media
,592556,,es,Cádiz,Puerta Tierra,,2024-08-22 19:33:22,320000,Planta baja,C/ Adelfa,4 dorm.,,,1979,122.00,Andalucía,venta,Popular
