Reference,Bathrooms,Contrat,Energy_Class,Sale_Price,Property_Type,Year_Construction,Surface,Energy_Consumption,Elevator,Publish_date,Floor,Street,Heating,City,Country,Autonomous_Community,Bedrooms,Zone
598423,2 baños,venta,e,179900,Popular,1988,147.00,245 kWh/m&sup2; año,Sí,2024-10-24 12:01:09,1,Calle Eusebio González Suárez,Independiente (Gas),Valladolid,es,Castilla Y León,3 dorm.,Parquesol
598537,3 baños,venta,e,310000,Popular,1995,279.00,412 kWh/m&sup2; año,,2024-10-22 15:32:22,,Calle de Juan de Valladolid,Independiente (Gas),Valladolid,es,Castilla Y León,3 dorm.,Parquesol
566284,2 baños,venta,e,159900,Popular,1990,148.00,179 kWh/m&sup2; año,Sí,2024-01-30 12:50:34,2,C. Prof. Adolfo Miaja de la Muela,centralizada (Gas),Valladolid,es,Castilla Y León,3 dorm.,Parquesol
591054,1 baño,venta,e,184900,Popular,1999,118.00,208 kWh/m&sup2; año,,2024-08-01 13:14:19,9,Manuel Silvela,Independiente (Gas),Valladolid,es,Castilla Y León,2 dorm.,Parquesol
595876,2 baños,venta,e,187900,Señorial,1983,149.00,181 kWh/m&sup2; año,,2024-09-26 10:58:17,10,Calle Prof. Adolfo Miaja de la Muela,centralizada (Gas),Valladolid,es,Castilla Y León,3 dorm.,Parquesol
598730,1 baño,venta,f,79900,Popular,1970,86.00,"292,0 kWh/m&sup2; año",,2024-10-31 20:26:06,2,Calle Zorzal,Independiente,Valladolid,es,Castilla Y León,3 dorm.,Pajarillos 
587640,1 baño,venta,e,97500,Media,1964,100.00,"304,85 kWh/m&sup2; año",,2024-07-01 19:04:55,2 (planta media),C. de San Isidro,,Valladolid,es,Castilla Y León,4 dorm.,Delicias
589620,1 baño,venta,e,74900,Media,1970,78.00,261 kW h/m&sup2; año,,2024-10-31 12:37:19,1,Calle Gallo,Independiente,Valladolid,es,Castilla Y León,3 dorm.,Pajarillos 
594761,1 baño,venta,e,94900,Popular,1967,83.00,"264,9 kWh/m&sup2; año",Sí,2024-09-24 19:50:33,1,Calle Lope de Vega,,Valladolid,es,Castilla Y León,3 dorm.,La Rondilla
595855,2 baños,venta,e,198000,Popular,1972,110.00,"281,1 kWh/m&sup2; año",Sí,2024-10-16 16:59:13,,Calle Huelgas,centralizada (Gas),Valladolid,es,Castilla Y León,4 dorm.,Vadillo - Batallas
598033,1 baño,venta,g,59900,Popular,1981,110.00,"405,3 kW h/m&sup2; año",Sí,2024-10-25 20:31:19,,Calle Ecuador,,Valladolid,es,Castilla Y León,3 dorm.,Arturo Eyries
597523,1 baño,venta,e,98000,Popular,1972,94.00,"250,9 kWh/m&sup2; año",,2024-10-30 18:01:08,Media,C. Veinte de Febrero,,Valladolid,es,Castilla Y León,1 dorm.,Centro Ciudad
599025,1 baño,venta,f,50000,Media,1969,69.00,"314,8 kW h/m&sup2; año",Sí,2024-10-28 18:44:09,Alta,C/ Ebro,Independiente (Gas),Valladolid,es,Castilla Y León,3 dorm.,Delicias
599447,1 baño,venta,e,83000,Popular,1970,70.00,"244,7 kW h/m&sup2; año",Sí,2024-10-30 13:48:00,2,C. Celtas Cortos,Independiente (Gas),Valladolid,es,Castilla Y León,3 dorm.,Delicias
585574,1 baño,venta,e,65000,Popular,1970,62.00,"104,82 kW h/m&sup2; año",Sí,2024-06-18 18:24:53,Baja,C. Gral. Shelly,,Valladolid,es,Castilla Y León,3 dorm.,Delicias
