Referencia,Pais,metros_cuadrados,Fecha_publicación,ascensor,ciudad,tipo_inmueble,precio_venta,contrato,zona,Clase_energia,baños,calefaccion,año_construcción,consumo_energia,dormitorios,planta/piso,calle
598730,es,86.00,2024-10-31 20:26:06,,Valladolid,Popular,79900,venta,Pajarillos ,f,1 baño,Independiente,1970,"292,0 kWh/m&sup2; año",,2,Calle Zorzal
587640,es,100.00,2024-07-01 19:04:55,,Valladolid,Media,97500,venta,Delicias,e,1 baño,,1964,"304,85 kWh/m&sup2; año",,2 (planta media),C. de San Isidro
589620,es,78.00,2024-10-31 12:37:19,,Valladolid,Media,74900,venta,Pajarillos ,e,1 baño,Independiente,1970,261 kW h/m&sup2; año,,1,Calle Gallo
594761,es,83.00,2024-09-24 19:50:33,Sí,Valladolid,Popular,94900,venta,La Rondilla,e,1 baño,,1967,"264,9 kWh/m&sup2; año",,1,Calle Lope de Vega
595855,es,110.00,2024-10-16 16:59:13,Sí,Valladolid,Popular,198000,venta,Vadillo - Batallas,e,2 baños,centralizada (Gas),1972,"281,1 kWh/m&sup2; año",,,Calle Huelgas
598033,es,110.00,2024-10-25 20:31:19,Sí,Valladolid,Popular,59900,venta,Arturo Eyries,g,1 baño,,1981,"405,3 kW h/m&sup2; año",,,Calle Ecuador
597523,es,94.00,2024-10-30 18:01:08,,Valladolid,Popular,98000,venta,Centro Ciudad,e,1 baño,,1972,"250,9 kWh/m&sup2; año",,Media,C. Veinte de Febrero
599025,es,69.00,2024-10-28 18:44:09,Sí,Valladolid,Media,50000,venta,Delicias,f,1 baño,Independiente (Gas),1969,"314,8 kW h/m&sup2; año",,Alta,C/ Ebro
599447,es,70.00,2024-10-30 13:48:00,Sí,Valladolid,Popular,83000,venta,Delicias,e,1 baño,Independiente (Gas),1970,"244,7 kW h/m&sup2; año",,2,C. Celtas Cortos
585574,es,62.00,2024-06-18 18:24:53,Sí,Valladolid,Popular,65000,venta,Delicias,e,1 baño,,1970,"104,82 kW h/m&sup2; año",,Baja,C. Gral. Shelly
